title,url
"Bitcoin pulls back to as low as $81,000 as horrendous day continues",/markets/2026/01/29/bitcoin-pulls-back-to-usd81-000-as-horrendous-day-continues
"Bitcoin holds $84,000 — for now — but analysts warn of drop to $70,000 if support fails",/markets/2026/01/29/crypto-hit-hardest-in-market-selloff-with-analysts-seeing-bitcoin-in-deeper-pullback-to-usd70-000
"Here are key levels to watch as bitcoin plunges to $84,000",/markets/2026/01/29/here-are-key-levels-to-watch-as-bitcoin-plunges-to-usd84-000
"Bitcoin's Quantum threat is ‘real but distant,’ says Wall Street analyst as doomsday debate rages on",/tech/2026/01/29/bitcoin-s-quantum-threat-is-real-but-distant-says-wall-street-analyst-as-debate-rages-on
"Bitcoin tumbles to 2026 low of $85,200 as gold reverses big gains, Microsoft leads Nasdaq lower",/markets/2026/01/29/bitcoin-tumbles-to-2026-low-of-usd85-200-as-gold-reverses-big-gains-microsoft-leads-nasdaq-lower
Sygnum’s new bitcoin fund pulls in $65 million from investors looking for steady yield,/business/2026/01/29/sygnum-bank-and-starboard-raise-over-750-btc-for-market-neutral-bitcoin-yield-fund
Metaplanet is raising $137 million to pay down debt and buy even more bitcoin,/markets/2026/01/29/metaplanet-raises-up-to-usd137m-to-expand-bitcoin-holdings-and-reduce-debt
"More than half of bitcoin investors are officially underwater as the $88,000 price level fails to hold",/markets/2026/01/29/more-than-half-of-bitcoin-s-invested-supply-has-a-cost-basis-above-usd88-000
"Weaker dollar fails to spur bitcoin gains, but there's a reason for that",/markets/2026/01/29/weaker-dollar-fails-to-spur-bitcoin-gains-but-there-s-a-reason-for-that-jpmorgan-says
"Bitcoin pulls back to as low as $81,000 as horrendous day continuesThe world's largest cryptocurrency has shed nearly $10,000 over the past 24 hours, now threatening to take out its recent November low just under $81,000.",/markets/2026/01/29/bitcoin-pulls-back-to-usd81-000-as-horrendous-day-continues
"El Salvador's central bank buys $50 million of gold as government keeps adding bitcoin The bitcoin-friendly nation's central bank now holds over $360 million of the yellow metal, while the government, led by President Nayib Bukele, has bitcoin holdings worth $635 million.",/policy/2026/01/29/el-salvador-s-central-bank-buys-usd50-million-of-gold-as-government-keeps-adding-bitcoin
"Bitcoin holds $84,000 — for now — but analysts warn of drop to $70,000 if support failsThursday's decline showed that, despite hopes for being a macro hedge, bitcoin continues to trade like the riskiest of risk assets when markets turn lower.",/markets/2026/01/29/crypto-hit-hardest-in-market-selloff-with-analysts-seeing-bitcoin-in-deeper-pullback-to-usd70-000
