Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2026-02-21,68003.765625,68657.703125,67533.0703125,68000.25,18357635642
2026-02-22,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012
2026-02-23,64616.73828125,67668.4296875,63924.4375,67668.4296875,50953457309
2026-02-24,64080.04296875,64992.15625,62553.1875,64616.015625,40849331086
2026-02-25,67960.125,69953.53125,63942.484375,64077.76953125,53629234355
2026-02-26,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523
2026-02-27,65881.796875,68220.40625,64946.03515625,67456.515625,40283655942
2026-02-28,66995.859375,67714.5234375,63062.21875,65878.9296875,42041497112
2026-03-01,65738.1015625,68162.8203125,65076.73046875,67005.8828125,40733141929
2026-03-02,68775.8515625,70044.0,65303.13671875,65734.078125,56698092052
2026-03-03,68293.6484375,69232.890625,66237.6171875,68785.078125,47947999049
2026-03-04,72710.578125,74051.8046875,67437.40625,68290.5625,75073101274
2026-03-05,70841.125,73555.7890625,70654.8828125,72712.65625,51172841727
2026-03-06,68136.4921875,71378.5703125,67757.8203125,70842.15625,43776962871
2026-03-07,67272.59375,68515.1640625,66969.2578125,68136.6875,23258701211
2026-03-08,65969.78125,68177.7890625,65639.1953125,67272.5,33195080116
2026-03-09,68402.3828125,69474.9453125,65858.0078125,65969.5859375,49499875378
2026-03-10,69926.921875,71770.8984375,68402.71875,68402.71875,54003996096
2026-03-11,70204.8828125,71337.6640625,68998.8671875,69931.25,45236859848
2026-03-12,70493.4609375,70775.828125,69230.15625,70209.765625,40871848129
2026-03-13,70968.265625,73927.328125,70410.7265625,70497.046875,61167226505
2026-03-14,71214.625,71291.203125,70339.5859375,70965.3828125,22283546496
2026-03-15,72789.9140625,73173.0078125,70882.421875,71213.6796875,27991268669
2026-03-16,74861.0859375,74901.859375,72300.6328125,72798.171875,55572438409
2026-03-17,73922.4765625,75988.3984375,73444.2265625,74855.296875,49500721728
2026-03-18,71245.578125,74658.9765625,70503.859375,73936.8515625,46229011155
2026-03-19,69912.7890625,71598.84375,68805.5234375,71250.3515625,44631433398
2026-03-20,70522.5859375,71346.796875,69398.8828125,69911.53125,38299078407
2026-03-21,68711.5234375,71051.2734375,68602.9140625,70522.46875,21109354718
2026-03-22,67845.2109375,69561.7734375,67372.875,68737.4453125,30108051508
2026-03-23,70914.859375,71782.2578125,67458.84375,67843.0,51508669357
2026-03-24,70517.859375,71371.3046875,68920.6953125,70912.671875,40181522399
2026-03-25,71309.8828125,71985.7421875,70383.59375,70520.046875,35409791747
2026-03-26,68791.625,71410.390625,68118.3515625,71310.1171875,38962070215
2026-03-27,66338.375,69117.53125,65532.5703125,68790.8359375,46483453594
2026-03-28,66319.6953125,67232.859375,65906.7421875,66338.5,20924883455
2026-03-29,65954.921875,67052.953125,64971.70703125,66319.6953125,21645889785
2026-03-30,66691.4453125,68087.2890625,65759.8046875,65958.3515625,37694994180
2026-03-31,68233.3125,68495.2734375,65950.4375,66694.5859375,42997691338
2026-04-01,68078.5546875,69230.359375,67555.359375,68232.890625,36465393617
2026-04-02,66888.5703125,68633.1484375,65725.2578125,68077.8984375,39323384518
2026-04-03,66931.1015625,67296.234375,66281.5390625,66889.015625,22815543346
2026-04-04,67290.515625,67515.015625,66769.640625,66938.6484375,15878814963
2026-04-05,68981.8984375,69087.65625,66610.6328125,67291.1953125,22972648674
2026-04-06,68859.828125,70305.421875,68347.078125,68982.9140625,39542143229
2026-04-07,71940.703125,72732.4296875,67740.5078125,68859.375,44650511480
2026-04-08,71123.359375,72825.1875,70707.46875,71950.1484375,42444631703
2026-04-09,71767.828125,73107.265625,70486.359375,71120.5703125,38799581473
2026-04-10,72979.046875,73440.1171875,71434.828125,71774.3671875,37722595732
2026-04-11,73054.2734375,73784.234375,72556.3359375,72976.125,23287073965
2026-04-12,70753.40625,73154.03125,70540.5703125,73056.046875,29882740487
2026-04-13,74484.640625,74896.3125,70588.5234375,70757.6171875,52278211554
2026-04-14,74181.609375,76061.7578125,73877.203125,74478.3984375,53540826530
2026-04-15,74805.078125,75409.2734375,73549.203125,74182.0234375,38090174312
2026-04-16,75152.1328125,75506.5703125,73346.265625,74810.875,41312783855
2026-04-17,77126.875,78320.6796875,74558.6015625,75164.0390625,54137194839
2026-04-18,75726.2109375,77416.703125,75504.9453125,77136.046875,26014416776
2026-04-19,73856.3515625,76243.09375,73802.3828125,75723.6953125,30931515195
2026-04-21,75770.0,76178.1171875,75735.2578125,75854.796875,38449037312
